Date,Value,Series,labels
1976-01-01T00:00:00,8.1,15 to 24 years,1976-01-01T00:00:00
1976-02-01T00:00:00,6.8,15 to 24 years,1976-02-01T00:00:00
1976-03-01T00:00:00,7.9,15 to 24 years,1976-03-01T00:00:00
1976-04-01T00:00:00,6.3,15 to 24 years,1976-04-01T00:00:00
1976-05-01T00:00:00,7.4,15 to 24 years,1976-05-01T00:00:00
1976-06-01T00:00:00,7.2,15 to 24 years,1976-06-01T00:00:00
1976-07-01T00:00:00,6.7,15 to 24 years,1976-07-01T00:00:00
1976-08-01T00:00:00,7.7,15 to 24 years,1976-08-01T00:00:00
1976-09-01T00:00:00,6.5,15 to 24 years,1976-09-01T00:00:00
1976-10-01T00:00:00,7.5,15 to 24 years,1976-10-01T00:00:00
1976-11-01T00:00:00,7.4,15 to 24 years,1976-11-01T00:00:00
1976-12-01T00:00:00,7.7,15 to 24 years,1976-12-01T00:00:00
1977-01-01T00:00:00,8.5,15 to 24 years,1977-01-01T00:00:00
1977-02-01T00:00:00,8.1,15 to 24 years,1977-02-01T00:00:00
1977-03-01T00:00:00,8.7,15 to 24 years,1977-03-01T00:00:00
1977-04-01T00:00:00,7.1,15 to 24 years,1977-04-01T00:00:00
1977-05-01T00:00:00,8.3,15 to 24 years,1977-05-01T00:00:00
1977-06-01T00:00:00,7.6,15 to 24 years,1977-06-01T00:00:00
1977-07-01T00:00:00,8.2,15 to 24 years,1977-07-01T00:00:00
1977-08-01T00:00:00,7.5,15 to 24 years,1977-08-01T00:00:00
1977-09-01T00:00:00,7.8,15 to 24 years,1977-09-01T00:00:00
1977-10-01T00:00:00,8.5,15 to 24 years,1977-10-01T00:00:00
1977-11-01T00:00:00,7.9,15 to 24 years,1977-11-01T00:00:00
1977-12-01T00:00:00,8.5,15 to 24 years,1977-12-01T00:00:00
1978-01-01T00:00:00,7.8,15 to 24 years,1978-01-01T00:00:00
1978-02-01T00:00:00,8.2,15 to 24 years,1978-02-01T00:00:00
1978-03-01T00:00:00,7.9,15 to 24 years,1978-03-01T00:00:00
1978-04-01T00:00:00,7.9,15 to 24 years,1978-04-01T00:00:00
1978-05-01T00:00:00,8.1,15 to 24 years,1978-05-01T00:00:00
1978-06-01T00:00:00,7.9,15 to 24 years,1978-06-01T00:00:00
1978-07-01T00:00:00,8.1,15 to 24 years,1978-07-01T00:00:00
1978-08-01T00:00:00,8,15 to 24 years,1978-08-01T00:00:00
1978-09-01T00:00:00,9.3,15 to 24 years,1978-09-01T00:00:00
1978-10-01T00:00:00,8.1,15 to 24 years,1978-10-01T00:00:00
1978-11-01T00:00:00,8.5,15 to 24 years,1978-11-01T00:00:00
1978-12-01T00:00:00,7.5,15 to 24 years,1978-12-01T00:00:00
1979-01-01T00:00:00,6.9,15 to 24 years,1979-01-01T00:00:00
1979-02-01T00:00:00,7.2,15 to 24 years,1979-02-01T00:00:00
1979-03-01T00:00:00,6.4,15 to 24 years,1979-03-01T00:00:00
1979-04-01T00:00:00,7.3,15 to 24 years,1979-04-01T00:00:00
1979-05-01T00:00:00,6.8,15 to 24 years,1979-05-01T00:00:00
1979-06-01T00:00:00,6.7,15 to 24 years,1979-06-01T00:00:00
1979-07-01T00:00:00,5.9,15 to 24 years,1979-07-01T00:00:00
1979-08-01T00:00:00,6.5,15 to 24 years,1979-08-01T00:00:00
1979-09-01T00:00:00,6.5,15 to 24 years,1979-09-01T00:00:00
1979-10-01T00:00:00,5.7,15 to 24 years,1979-10-01T00:00:00
1979-11-01T00:00:00,5.9,15 to 24 years,1979-11-01T00:00:00
1979-12-01T00:00:00,6,15 to 24 years,1979-12-01T00:00:00
1980-01-01T00:00:00,7.5,15 to 24 years,1980-01-01T00:00:00
1980-02-01T00:00:00,6.7,15 to 24 years,1980-02-01T00:00:00
1980-03-01T00:00:00,6.8,15 to 24 years,1980-03-01T00:00:00
1980-04-01T00:00:00,6.3,15 to 24 years,1980-04-01T00:00:00
1980-05-01T00:00:00,6.6,15 to 24 years,1980-05-01T00:00:00
1980-06-01T00:00:00,7.3,15 to 24 years,1980-06-01T00:00:00
1980-07-01T00:00:00,6.9,15 to 24 years,1980-07-01T00:00:00
1980-08-01T00:00:00,7.1,15 to 24 years,1980-08-01T00:00:00
1980-09-01T00:00:00,6.6,15 to 24 years,1980-09-01T00:00:00
1980-10-01T00:00:00,6.4,15 to 24 years,1980-10-01T00:00:00
1980-11-01T00:00:00,6.4,15 to 24 years,1980-11-01T00:00:00
1980-12-01T00:00:00,6.2,15 to 24 years,1980-12-01T00:00:00
1981-01-01T00:00:00,6.6,15 to 24 years,1981-01-01T00:00:00
1981-02-01T00:00:00,7.1,15 to 24 years,1981-02-01T00:00:00
1981-03-01T00:00:00,6.5,15 to 24 years,1981-03-01T00:00:00
1981-04-01T00:00:00,5.7,15 to 24 years,1981-04-01T00:00:00
1981-05-01T00:00:00,5.1,15 to 24 years,1981-05-01T00:00:00
1981-06-01T00:00:00,5.1,15 to 24 years,1981-06-01T00:00:00
1981-07-01T00:00:00,5.4,15 to 24 years,1981-07-01T00:00:00
1981-08-01T00:00:00,5.5,15 to 24 years,1981-08-01T00:00:00
1981-09-01T00:00:00,6.4,15 to 24 years,1981-09-01T00:00:00
1981-10-01T00:00:00,7.4,15 to 24 years,1981-10-01T00:00:00
1981-11-01T00:00:00,8.8,15 to 24 years,1981-11-01T00:00:00
1981-12-01T00:00:00,7.3,15 to 24 years,1981-12-01T00:00:00
1982-01-01T00:00:00,8.8,15 to 24 years,1982-01-01T00:00:00
1982-02-01T00:00:00,8.3,15 to 24 years,1982-02-01T00:00:00
1982-03-01T00:00:00,9.4,15 to 24 years,1982-03-01T00:00:00
1982-04-01T00:00:00,10.9,15 to 24 years,1982-04-01T00:00:00
1982-05-01T00:00:00,11.8,15 to 24 years,1982-05-01T00:00:00
1982-06-01T00:00:00,13,15 to 24 years,1982-06-01T00:00:00
1982-07-01T00:00:00,14.2,15 to 24 years,1982-07-01T00:00:00
1982-08-01T00:00:00,13.1,15 to 24 years,1982-08-01T00:00:00
1982-09-01T00:00:00,14.6,15 to 24 years,1982-09-01T00:00:00
