Date;Composite_HPI;Single_Family_HPI;One_Storey_HPI;Two_Storey_HPI;Townhouse_HPI;Apartment_HPI;Composite_Benchmark;Single_Family_Benchmark;One_Storey_Benchmark;Two_Storey_Benchmark;Townhouse_Benchmark;Apartment_Benchmark
January 1, 2005;100;100;100;100;100;100;208000;227800;199500;252700;157400;131400
February 1, 2005;101,3;101,4;101,5;101,4;101;100,9;210700;231100;202400;256300;158900;132600
March 1, 2005;103,2;103,4;103,7;103,2;102,1;103,1;214700;235600;206800;260900;160700;135500
April 1, 2005;104,7;105,2;105,3;105;103,2;103,3;217800;239600;210100;265300;162400;135700
May 1, 2005;105,8;106,3;106,8;105,9;104,1;104,2;220000;242200;213100;267600;163900;136900
June 1, 2005;106,5;107,1;107,6;106,6;105,3;104,9;221600;244000;214600;269500;165800;137800
July 1, 2005;107,8;108,5;109,1;107,8;106,4;106,6;224200;247100;217700;272400;167500;140100
August 1, 2005;108,8;109,6;110;109,1;107,7;107,7;226400;249600;219500;275600;169500;141500
September 1, 2005;110,2;111;111,2;110,6;108,8;108,7;229200;252900;221900;279600;171200;142800
October 1, 2005;111,6;112,6;112,9;112,1;110,3;109,3;232200;256600;225300;283400;173600;143600
November 1, 2005;113,5;114,7;114,8;114,2;111,8;111;236100;261200;229000;288600;175900;145800
December 1, 2005;115;116,1;115,9;115,9;113,9;113,2;239300;264500;231200;292900;179300;148700
January 1, 2006;119,8;121,3;120,4;121,6;116,6;116,4;249200;276400;240100;307300;183600;152900
February 1, 2006;126,7;128,4;126,8;129,1;123,1;122,6;263500;292600;252900;326200;193800;161100
March 1, 2006;134,5;136,3;134,1;137,3;130,7;131,7;279800;310500;267600;347000;205800;173100
April 1, 2006;142,8;144,8;142,3;146;139,2;139,3;297100;329900;283800;368900;219100;183000
May 1, 2006;152,2;153,7;151;155;151,1;151,7;316500;350200;301300;391700;237900;199300
June 1, 2006;159,9;161;159;161,8;161,4;163,4;332600;366800;317300;408900;254000;214700
July 1, 2006;165,8;166,6;164,9;167,3;169,6;171,7;344800;379600;329000;422800;266900;225600
August 1, 2006;169,6;170,1;168,6;170,7;174,9;178,8;352700;387500;336300;431400;275300;234900
September 1, 2006;170,7;170,8;168,8;171,8;177,4;183,5;355100;389100;336800;434100;279200;241100
October 1, 2006;169,9;169,6;168,6;169,8;178,8;184,3;353400;386300;336400;429200;281500;242200
November 1, 2006;168,8;168,3;166,7;169,1;177,5;184,4;351000;383500;332500;427400;279400;242300
December 1, 2006;168,4;168;167,2;168,2;178;183,4;350300;382800;333600;425000;280100;241000
January 1, 2007;170,2;170,1;169,5;170;179,6;185,1;354100;387500;338100;429600;282700;243200
February 1, 2007;174,9;175,2;174,6;174,8;182,9;189,5;363800;399000;348300;441600;287900;249000
March 1, 2007;180,5;180,8;180,6;180,1;189,5;194,9;375400;411900;360200;455000;298200;256100
April 1, 2007;184,3;184,7;184,4;183,9;192,8;199,2;383300;420800;367900;464700;303400;261700
May 1, 2007;188,6;189;189;187,8;198,3;203,9;392200;430500;377000;474600;312200;267900
June 1, 2007;189,8;190;190,7;188,4;201;206,5;394800;432900;380400;476200;316300;271300
July 1, 2007;191,4;191,5;192,3;189,8;204,3;208,2;398200;436200;383600;479600;321600;273600
August 1, 2007;191,3;191;191,1;189,9;205,1;209,7;397800;435200;381200;479900;322900;275500
September 1, 2007;190,8;190,8;190,8;189,6;204,3;208;396800;434700;380700;479200;321500;273300
October 1, 2007;188;187,8;188;186,5;201,8;206,5;391100;427900;375100;471300;317700;271400
November 1, 2007;185,1;184,7;185,3;183,1;199,2;204,4;385000;420800;369700;462600;313600;268600
December 1, 2007;181,2;180,6;181;179,1;195,9;200,8;376800;411400;361000;452600;308300;263800
January 1, 2008;181,3;180,9;179,6;180,4;194,7;200,2;377000;412200;358400;455900;306400;263100
February 1, 2008;181,9;182;181,2;181;194,6;198,9;378300;414500;361400;457400;306300;261300
March 1, 2008;182,4;182,4;181,3;181,6;195,6;199,3;379300;415500;361600;458900;307900;261900
April 1, 2008;182,4;182,4;182,2;181,1;195,2;199,5;379300;415600;363400;457600;307300;262200
May 1, 2008;181,1;181;179,9;180,1;194,7;198,3;376600;412300;359000;455000;306500;260600
June 1, 2008;178,7;178,6;177,5;177,6;191,9;196;371600;406800;354200;448800;302100;257600
July 1, 2008;176,6;176,6;176;175,2;190,4;192,2;367300;402200;351200;442800;299700;252600
August 1, 2008;175,7;175,7;175;174,5;189,2;190,6;365500;400300;349100;440900;297800;250400
September 1, 2008;174,4;174,7;173;174;187,8;186,7;362800;398000;345100;439700;295600;245300
October 1, 2008;171,6;171,7;169,9;171,1;185,6;184,4;357000;391200;338900;432300;292200;242300
November 1, 2008;168,8;169;166;169;182,4;179,8;351000;384900;331200;427100;287100;236200
December 1, 2008;164,2;164,2;162,5;163,6;178,6;176;341600;374100;324200;413300;281100;231200
January 1, 2009;160,5;160,5;157,9;160,3;174,8;171,7;333800;365600;315000;405200;275100;225600
February 1, 2009;159,7;159,7;157,1;159,4;174,3;170,5;332100;363700;313500;402700;274300;224000
March 1, 2009;159,4;159,6;157,2;159,1;171,6;169,9;331500;363500;313700;402100;270100;223300
April 1, 2009;158,9;159,4;158,2;158,1;170;168,9;330600;363200;315600;399500;267600;222000
May 1, 2009;160,3;161,2;159,3;160,1;169,3;167,9;333400;367300;317800;404500;266400;220600
June 1, 2009;161,8;162,7;159,7;162,1;170,3;169,1;336500;370700;318600;409600;268100;222200
July 1, 2009;164;165,1;162,5;163,9;172,7;169,9;341100;376100;324200;414300;271800;223300
August 1, 2009;166,2;167,2;164;166,2;175,5;172,8;345700;380800;327200;419900;276300;227000
September 1, 2009;167,4;168,3;164,3;167,7;177,6;173,4;348200;383400;327700;423900;279600;227900
October 1, 2009;169,1;170,2;166,2;169,5;178,8;174,5;351700;387700;331500;428300;281400;229300
November 1, 2009;169,8;171,1;165,7;171,1;178,7;174,3;353100;389700;330600;432300;281200;229000
December 1, 2009;170,2;171,6;166,1;171,7;178,7;175,3;354100;390800;331300;433900;281300;230300
January 1, 2010;171,1;172,3;168,1;171,8;180,2;175,1;355800;392600;335300;434100;283700;230100
February 1, 2010;172,9;174,2;170,1;173,5;182,3;177,2;359700;396800;339400;438500;287000;232800
