"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","615496","","","","0"
"1990-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","626452","","","","0"
"1990-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","631908","","","","0"
"1990-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","638984","","","","0"
"1991-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","640844","","","","0"
"1991-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","648248","","","","0"
"1991-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","652668","","","","0"
"1991-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","654384","","","","0"
"1992-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","658604","","","","0"
"1992-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","664280","","","","0"
"1992-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","667800","","","","0"
"1992-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","669188","","","","0"
"1993-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","676464","","","","0"
"1993-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","679832","","","","0"
"1993-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","681600","","","","0"
"1993-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","682432","","","","0"
"1994-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","685640","","","","0"
"1994-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","692764","","","","0"
"1994-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","701280","","","","0"
"1994-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","708180","","","","0"
"1995-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","715664","","","","0"
"1995-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","722476","","","","0"
"1995-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","727596","","","","0"
