Id,MlsNumber,BathroomTotal,Bedrooms,SizeInterior,StoriesTotal,Type,AreaUnformatted,HalfBathTotal,PriceUnformattedValue,Longitude,Latitude
27544119,A2173223,1,1 + 0,618.7 sqft,3,Apartment,619 sqft,0,200000,-114.159416394,51.083348729
27544017,A2173030,2,3 + 0,833 sqft,5,Apartment,833 sqft,0,419900,-113.962344624,51.147713672
27544015,A2172046,3,3 + 0,1648.7 sqft,2,House,1649 sqft,1,599900,-114.054038837,51.17213414
27544014,A2173256,2,3 + 0,917 sqft,2,Row / Townhouse,917 sqft,0,369999,-114.154073951,51.103756614
27544013,A2173238,2,3 + 2,1125 sqft,1,House,1125 sqft,0,889900,-114.068233295,51.011907881
27544012,A2173252,4,3 + 1,1727 sqft,2,Duplex,1727 sqft,1,749900,-114.071954263,51.072585818
27544005,A2173214,2,2 + 0,764 sqft,4,Apartment,764 sqft,0,349900,-114.215813692,51.150941253
27543754,A2172960,2,2 + 2,854 sqft,,House,854 sqft,0,499000,-113.941438649,51.053225283
27543753,A2171571,3,1 + 2,1520 sqft,1,House,1520 sqft,1,850000,-114.095217031,50.924158869
27543724,A2171201,1,1 + 0,669.82 sqft,4,Apartment,670 sqft,0,239300,-114.118535772,50.905440675
27543646,A2173196,2,2 + 0,842 sqft,4,Apartment,842 sqft,0,395000,-114.1327949,51.1791092
27543645,A2173249,4,3 + 2,1958 sqft,2,Duplex,1958 sqft,1,874900,-114.057011416,51.082992727
27543632,A2173247,4,3 + 2,1958 sqft,2,Duplex,1958 sqft,1,874900,-114.057011416,51.082992727
27543600,A2173083,1,1 + 0,581 sqft,3,Apartment,581 sqft,0,175000,-113.978259766,51.039016527
27543507,A2173191,3,3 + 0,1658 sqft,2,House,1658 sqft,1,575000,-113.927474,51.0897056
27543483,A2167269,1,0 + 2,850.6 sqft,4,Apartment,851 sqft,0,259900,-114.159513531,51.083884927
27543481,A2172291,1,2 + 0,769 sqft,4,Apartment,769 sqft,0,245000,-114.103012599,51.043774671
27543435,A2171700,2,2 + 0,1187.58 sqft,4,Apartment,1188 sqft,0,429900,-114.20328154,51.140749558
27543378,A2173098,1,1 + 0,602.69 sqft,4,Apartment,603 sqft,0,289900,-114.069739436,51.031212389
27543376,A2172897,3,3 + 1,1312 sqft,2,Row / Townhouse,1312 sqft,1,449900,-114.001816834,50.955257365
27543373,A2173200,3,2 + 0,904.77 sqft,2,Row / Townhouse,905 sqft,1,398000,-114.249583956,51.14248171
27543349,A2173179,3,3 + 0,1425 sqft,2,Row / Townhouse,1425 sqft,1,599900,-114.002559647,50.871179383
27543348,A2172202,3,3 + 0,4077 sqft,2,House,4077 sqft,1,4100000,-114.078808476,51.06157173
27543240,A2172907,4,3 + 2,1787.15 sqft,2,House,1787 sqft,1,715000,-114.096365589,51.143909842
27543140,A2173033,2,2 + 0,805 sqft,4,Apartment,805 sqft,0,264000,-114.014853607,51.066002491
27543136,A2173077,3,2 + 0,1807 sqft,2,Row / Townhouse,1807 sqft,1,454900,-113.923933187,50.923516297
27543133,A2172988,4,3 + 0,2088.66 sqft,2,House,2089 sqft,1,788000,-114.172680715,51.177821389
27543048,A2173070,4,2 + 1,1315.03 sqft,2,Row / Townhouse,1315 sqft,1,625000,-114.163252583,51.07506694
27542918,A2173210,1,1 + 0,680.39 sqft,4,Apartment,680 sqft,0,299900,-114.069739436,51.031212389
27542895,A2172401,2,3 + 0,1462.4 sqft,,Row / Townhouse,1462 sqft,1,399990,-114.1838991,51.1170398
27542894,A2172992,4,3 + 1,1970.82 sqft,2,House,1971 sqft,1,699900,-113.967595629,51.120139576
27542715,A2173088,3,3 + 0,1308.4 sqft,2,Row / Townhouse,1308 sqft,1,726900,-114.107768628,51.072603336
27542695,A2172559,3,3 + 0,1582 sqft,2,House,1582 sqft,1,639900,-114.184248791,51.145757646
27542694,A2173202,2,3 + 0,1350 sqft,2,House,1350 sqft,1,499900,-114.016849104,50.938299412
27542693,A2172928,2,2 + 1,979 sqft,,Duplex,979 sqft,0,629000,-114.107571466,51.077350127
27542690,A2172986,4,3 + 1,1864 sqft,2,House,1864 sqft,1,660000,-113.982778719,50.941239448
27542663,A2171530,3,2 + 2,1355 sqft,1,House,1355 sqft,0,775000,-114.048681599,50.970782249
27542559,A2173129,3,3 + 0,2037.37 sqft,2,House,2037 sqft,1,719900,-114.039835778,50.877242868
27542479,A2169929,4,3 + 0,2012.96 sqft,2,House,2013 sqft,1,799000,-114.15647262,51.181883687
27542478,A2173165,1,1 + 0,477.07 sqft,4,Apartment,477 sqft,0,275000,-114.127689743,51.082402723
27542476,A2172822,4,4 + 1,2033 sqft,2,House,2033 sqft,1,1425000,-114.046908089,50.951583808
27542467,A2173132,1,1 + 0,566.5 sqft,15,Apartment,566 sqft,0,245000,-114.093843904,51.039707953
27542269,A2173018,2,2 + 2,1081 sqft,1,House,1081 sqft,0,589900,-113.976648712,51.060991029
27542167,A2172828,1,1 + 0,620 sqft,4,Apartment,620 sqft,0,169900,-114.074285978,51.001689292
27541806,A2172745,4,3 + 1,2179.96 sqft,2,House,2180 sqft,1,855000,-114.221184822,51.126119041
27541804,A2173095,4,3 + 1,1941.06 sqft,2,Row / Townhouse,1941 sqft,1,889999,-114.2053693,51.0332334
27541713,A2162407,3,4 + 0,2357.36 sqft,2,House,2357 sqft,1,858858,-114.15387395,51.13454871
27541708,A2173104,5,4 + 1,2515 sqft,3,House,2515 sqft,1,1350000,-114.1147936,51.0503886
27541671,A2170565,4,3 + 2,1964.47 sqft,2,House,1964 sqft,1,1248888,-114.1144676,51.0057097
27541658,A2173075,1,2 + 0,830.3 sqft,1,Row / Townhouse,830 sqft,0,384900,-114.138790303,51.17807505
27541554,A2172596,3,3 + 1,1055.62 sqft,,House,1056 sqft,1,595000,-114.039072241,51.170253375
27541411,A2173112,2,2 + 0,940.85 sqft,4,Apartment,941 sqft,0,364900,-114.095079923,51.033612817
27541410,A2173113,1,2 + 0,875 sqft,3,Apartment,875 sqft,0,299999,-114.122697435,51.036693598
27541405,A2173068,4,3 + 1,1971.6 sqft,2,Duplex,1972 sqft,1,1079000,-114.1603494,51.07773
27541371,A2171931,2,2 + 0,871 sqft,8,Apartment,871 sqft,0,299900,-114.125595947,51.070747903
27541370,A2169949,2,2 + 0,875.44 sqft,4,Apartment,875 sqft,0,349900,-114.023850482,50.860072145
27541041,A2173020,1,1 + 0,623 sqft,4,Apartment,623 sqft,0,275000,-114.167324015,51.057942985
27541034,A2173097,2,3 + 0,1116 sqft,,House,1116 sqft,1,620000,-114.060681471,50.919233711
27541030,A2172891,3,3 + 2,1027.59 sqft,1,House,1028 sqft,1,579000,-113.999903073,51.018968055
27540967,A2172857,1,1 + 0,537 sqft,21,Apartment,537 sqft,0,293000,-114.0885027,51.0424764
27540861,A2165715,2,2 + 0,1645.63 sqft,2,Row / Townhouse,1646 sqft,1,575000,-114.147395737,51.060734869
27540743,A2173069,3,3 + 0,1547.32 sqft,2,Row / Townhouse,1547 sqft,1,499999,-113.926308272,51.128565504
27540716,A2172926,1,1 + 0,664 sqft,26,Apartment,664 sqft,0,295000,-114.086705959,51.043511968
27540712,A2173058,1,2 + 0,862.12 sqft,2,Row / Townhouse,862 sqft,0,409900,-114.13501054,51.026762323
27540632,A2173064,5,4 + 1,3032 sqft,3,Duplex,3032 sqft,1,1299900,-114.098327109,51.054174727
27540624,A2170418,4,3 + 1,1938 sqft,2,House,1938 sqft,1,1299800,-114.13791843,51.032617193
27540419,A2171948,3,4 + 0,1869 sqft,,Row / Townhouse,1869 sqft,1,585000,-114.162514801,51.109308962
27540416,A2172882,2,2 + 0,820 sqft,4,Apartment,820 sqft,0,403000,-114.074924499,51.067609987
27540413,A2171916,4,3 + 1,1935.89 sqft,2,House,1936 sqft,1,799900,-114.207316705,51.053985004
27540412,A2173035,3,4 + 1,1672.47 sqft,2,House,1672 sqft,0,629900,-113.976483059,51.093723199
27540411,A2172976,2,2 + 0,772.31 sqft,3,Apartment,772 sqft,0,355000,-113.932810789,50.92412975
27540406,A2172435,1,1 + 0,555 sqft,4,Apartment,555 sqft,0,229900,-114.0730209,51.033185
27540261,A2172001,4,3 + 0,2005.77 sqft,3,Row / Townhouse,2006 sqft,1,649900,-114.077139637,51.067608
