Date,Inflation Rate,Interest Rate,GDP Change (%),Average exchange rate,Unemployment Rate,International,Interprovincial,Single_Family_Benchmark,Two_Storey_Benchmark,Apartment_Benchmark,One_Storey_Benchmark,Townhouse_Benchmark,Apartment and other unit types,Row units,Semi-detached units,Single-detached units
2005-01-01,1.434034416826,2.5,4.607796046075374,1.2258799999999999,3.7,1508.0,2763.0,227800.0,252700.0,131400.0,199500.0,157400.0,414,151,173,1116
2005-02-01,1.52963671128107,2.5,4.607796046075374,1.2395,3.2,1508.0,2763.0,231100.0,256300.0,132600.0,202400.0,158900.0,455,250,146,1364
2005-03-01,1.9065776930409901,2.5,4.607796046075374,1.2117125,2.9,1508.0,2763.0,235600.0,260900.0,135500.0,206800.0,160700.0,514,192,299,1475
2005-04-01,2.28136882129277,2.5,4.607796046075374,1.23705,3.0,2066.0,3721.0,239600.0,265300.0,135700.0,210100.0,162400.0,803,182,300,1984
2005-05-01,1.22525918944392,2.5,4.607796046075374,1.25596,3.1,2066.0,3721.0,242200.0,267600.0,136900.0,213100.0,163900.0,1246,217,218,2000
2005-06-01,0.65359477124183,2.5,4.607796046075374,1.2406375,3.3,2066.0,3721.0,244000.0,269500.0,137800.0,214600.0,165800.0,366,105,264,1920
2005-07-01,2.16165413533834,2.5,4.607796046075374,1.2216799999999999,3.2,2287.0,3381.0,247100.0,272400.0,140100.0,217700.0,167500.0,418,163,211,2018
2005-08-01,2.35404896421845,2.5,4.607796046075374,1.20135,3.3,2287.0,3381.0,249600.0,275600.0,141500.0,219500.0,169500.0,527,414,289,1697
2005-09-01,3.48071495766698,2.75,4.607796046075374,1.1773625,3.2,2287.0,3381.0,252900.0,279600.0,142800.0,221900.0,171200.0,1415,210,234,1839
2005-10-01,3.49056603773584,3.0,4.607796046075374,1.17801,3.3,1356.0,4606.0,256600.0,283400.0,143600.0,225300.0,173600.0,649,251,328,1868
2005-11-01,2.71790065604498,3.0,4.607796046075374,1.1816499999999999,3.3,1356.0,4606.0,261200.0,288600.0,145800.0,229000.0,175900.0,656,268,242,1786
2005-12-01,2.44360902255639,3.25,4.607796046075374,1.1613125,3.5,1356.0,4606.0,264500.0,292900.0,148700.0,231200.0,179300.0,560,177,173,1753
2006-01-01,4.05278039585296,3.5,6.527314139572682,1.15719,3.1,1930.0,4106.0,276400.0,307300.0,152900.0,240100.0,183600.0,158,68,234,1858
2006-02-01,3.2956685499058302,3.5,6.527314139572682,1.148775,2.7,1930.0,4106.0,292600.0,326200.0,161100.0,252900.0,193800.0,511,168,422,1944
2006-03-01,3.1805425631431197,3.75,6.527314139572682,1.1594,2.9,1930.0,4106.0,310500.0,347000.0,173100.0,267600.0,205800.0,1290,234,252,1750
2006-04-01,3.53159851301115,4.0,6.527314139572682,1.13825,2.8,2538.0,3170.0,329900.0,368900.0,183000.0,283800.0,219100.0,633,227,258,2345
2006-05-01,4.4692737430167595,4.25,6.527314139572682,1.1096875,2.6,2538.0,3170.0,350200.0,391700.0,199300.0,301300.0,237900.0,979,138,233,2530
2006-06-01,3.7105751391465605,4.25,6.527314139572682,1.1138625,3.0,2538.0,3170.0,366800.0,408900.0,214700.0,317300.0,254000.0,1450,269,313,2244
2006-07-01,4.323827046918121,4.25,6.527314139572682,1.12771,2.5,2957.0,5576.0,379600.0,422800.0,225600.0,329000.0,266900.0,955,293,314,2234
2006-08-01,4.78380864765409,4.25,6.527314139572682,1.1173625,3.3,2957.0,5576.0,387500.0,431400.0,234900.0,336300.0,275300.0,398,317,434,2326
2006-09-01,3.72727272727272,4.25,6.527314139572682,1.1162625,2.8,2957.0,5576.0,389100.0,434100.0,241100.0,336800.0,279200.0,606,163,328,2241
2006-10-01,3.00820419325433,4.25,6.527314139572682,1.12729,2.9,1744.0,2559.0,386300.0,429200.0,242200.0,336400.0,281500.0,259,208,295,2039
2006-11-01,3.74087591240875,4.25,6.527314139572682,1.136975,3.1,1744.0,2559.0,383500.0,427400.0,242300.0,332500.0,279400.0,2018,217,223,1731
2006-12-01,4.7706422018348595,4.25,6.527314139572682,1.1562100000000002,3.1,1744.0,2559.0,382800.0,425000.0,241000.0,333600.0,280100.0,813,104,250,1608
2007-01-01,3.89492753623188,4.25,1.9428097880740403,1.175975,3.1,2483.0,1575.0,387500.0,429600.0,243200.0,338100.0,282700.0,673,592,177,1568
2007-02-01,4.8313582497721,4.25,1.9428097880740403,1.1700625,3.1,2483.0,1575.0,399000.0,441600.0,249000.0,348300.0,287900.0,519,166,257,1501
2007-03-01,5.53037171350861,4.25,1.9428097880740403,1.16805,3.2,2483.0,1575.0,411900.0,455000.0,256100.0,360200.0,298200.0,1140,408,292,1513
2007-04-01,5.47576301615798,4.25,1.9428097880740403,1.13141,2.6,3737.0,1559.0,420800.0,464700.0,261700.0,367900.0,303400.0,941,424,433,2131
2007-05-01,4.99108734402852,4.25,1.9428097880740403,1.0911374999999999,3.3,3737.0,1559.0,430500.0,474600.0,267900.0,377000.0,312200.0,924,252,343,2165
2007-06-01,6.261180679785331,4.25,1.9428097880740403,1.0648250000000001,2.9,3737.0,1559.0,432900.0,476200.0,271300.0,380400.0,316300.0,602,276,275,2153
2007-07-01,5.02645502645502,4.5,1.9428097880740403,1.05253,2.9,3244.0,735.0,436200.0,479600.0,273600.0,383600.0,321600.0,471,150,403,2026
2007-08-01,4.7410008779631205,4.5,1.9428097880740403,1.05935,3.1,3244.0,735.0,435200.0,479900.0,275500.0,381200.0,322900.0,961,352,284,1955
2007-09-01,4.6450482033304095,4.5,1.9428097880740403,1.01994,3.1,3244.0,735.0,434700.0,479200.0,273300.0,380700.0,321500.0,1968,336,324,1738
2007-10-01,4.955752212389379,4.5,1.9428097880740403,0.9679625000000001,3.0,2262.0,678.0,427900.0,471300.0,271400.0,375100.0,317700.0,1144,316,198,1578
2007-11-01,4.7493403693931295,4.5,1.9428097880740403,0.9659375,3.0,2262.0,678.0,420800.0,462600.0,268600.0,369700.0,313600.0,870,109,326,1399
2007-12-01,4.11558669001751,4.25,1.9428097880740403,1.0007899999999998,2.8,2262.0,678.0,411400.0,452600.0,263800.0,361000.0,308300.0,322,296,218,1010
2008-01-01,3.5745422842197,4.0,1.3056120080073619,1.0126625,2.6,2813.0,1287.0,412200.0,455900.0,263100.0,358400.0,306400.0,1073,220,116,911
2008-02-01,3.4782608695652097,4.0,1.3056120080073619,1.0018125,3.2,2813.0,1287.0,414500.0,457400.0,261300.0,361400.0,306300.0,914,85,135,854
2008-03-01,2.9209621993127097,3.5,1.3056120080073619,1.00414,2.8,2813.0,1287.0,415500.0,458900.0,261900.0,361600.0,307900.0,2838,238,206,942
2008-04-01,3.2340425531914803,3.0,1.3056120080073619,1.0130875000000001,3.0,4559.0,2405.0,415600.0,457600.0,262200.0,363400.0,307300.0,1085,133,182,860
2008-05-01,3.73514431239388,3.0,1.3056120080073619,0.9984625,3.1,4559.0,2405.0,412300.0,455000.0,260600.0,359000.0,306500.0,1127,215,237,1183
2008-06-01,4.37710437710437,3.0,1.3056120080073619,1.01572,2.7,4559.0,2405.0,406800.0,448800.0,257600.0,354200.0,302100.0,266,126,162,1095
2008-07-01,3.5264483627204,3.0,1.3056120080073619,1.0135875,3.2,4299.0,885.0,402200.0,442800.0,252600.0,351200.0,299700.0,757,107,165,1155
2008-08-01,4.02347024308466,3.0,1.3056120080073619,1.05726,3.0,4299.0,885.0,400300.0,440900.0,250400.0,349100.0,297800.0,419,101,224,968
2008-09-01,2.84757118927973,3.0,1.3056120080073619,1.0575875,3.4,4299.0,885.0,398000.0,439700.0,245300.0,345100.0,295600.0,559,108,218,996
2008-10-01,2.44519392917369,2.25,1.3056120080073619,1.1968125,2.6,2908.0,1370.0,391200.0,432300.0,242300.0,338900.0,292200.0,659,150,160,916
2008-11-01,2.0990764063811898,2.25,1.3056120080073619,1.2300499999999999,3.2,2908.0,1370.0,384900.0,427100.0,236200.0,331200.0,287100.0,252,109,106,964
